,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,npm_id,npm_url,npm_monthly_downloads,updated_github_id
55,Storybook for Nuxt framework,storybook-vue/nuxt,[],dev-tools,https://github.com/storybook-vue/storybook-nuxt,https://github.com/storybook-vue/storybook-nuxt,,2023-07-23 03:19:03,2024-03-21 16:36:58,2024-01-13 04:15:40,343.0,1.0,14.0,10.0,41.0,36.0,15.0,132.0,2024-01-13 04:20:49,0.2.1,,,9.0,Storybook integration for Nuxt Framework - Unleashing the power of Storybook in Nuxt/Vue Land!.,5.0,5.0,4.0,11,True,3,,,,,storybook-vue/storybook-nuxt
56,tailwindui-vue,tailwindlabs/tailwindui-vue,['tailwind'],components,https://github.com/tailwindlabs/tailwindui-vue,https://github.com/tailwindlabs/tailwindui-vue,,2020-05-29 17:04:32,2020-10-02 21:51:16,2020-10-02 21:50:05,9.0,,28.0,60.0,9.0,,7.0,650.0,,,,,,"Deprecated, please use the Headless UI repo instead.",19.0,19.0,4.0,10,True,3,,,,,
57,vue3-draggable,shkilo/vue3-draggable,['vue3'],dnd,https://github.com/shkilo/vue3-draggable,https://github.com/shkilo/vue3-draggable,MIT,2020-12-27 13:50:23,2023-01-11 17:43:22,2021-06-07 12:33:47,72.0,,17.0,1.0,6.0,8.0,1.0,33.0,,,,,,simple drag&drop component for vue 3.x.,292.0,292.0,,10,True,3,,,,,
58,vue-redux,yang-wei/vue-redux,[],state-management,https://github.com/yang-wei/vue-redux,https://github.com/yang-wei/vue-redux,,2015-07-11 07:22:47,2017-07-15 04:36:28,2016-02-07 03:02:14,61.0,,12.0,3.0,17.0,,8.0,142.0,2015-07-26 09:31:05,0.0.1,,18.0,1.0,What happen when Vue.js + Redux.,14.0,14.0,6.0,9,False,3,,vue-redux,https://www.npmjs.com/package/vue-redux,18.0,
59,Relay client integration,vue-relay/vue-relay,"['vue2', 'vue3', 'relay']",graphql-integrations,https://github.com/vue-relay/vue-relay,https://github.com/vue-relay/vue-relay,BSD-2-Clause,2018-02-19 09:37:01,2021-10-29 20:57:48,2021-08-12 02:14:10,45.0,,10.0,8.0,13.0,4.0,4.0,119.0,,,,,,A framework for building GraphQL-driven Vue.js applications.,14.0,14.0,2.0,9,True,3,,,,,
60,Storybook Addon Nuxt,hirotaka/storybook-addon-nuxt,[],dev-tools,https://github.com/hirotaka/storybook-addon-nuxt,https://github.com/hirotaka/storybook-addon-nuxt,,2023-05-15 06:27:22,2023-09-28 06:00:27,2023-09-28 06:00:27,20.0,,13.0,4.0,10.0,12.0,3.0,78.0,2023-06-08 01:30:33,1.3.3,,,7.0,This add-on makes it easier to set up Storybook in your Nuxt3 project.,51.0,51.0,2.0,9,True,3,,,,,
61,vue-freeze,BosNaufal/vue-freeze,[],state-management,https://github.com/BosNaufal/vue-freeze,https://github.com/BosNaufal/vue-freeze,MIT,2016-03-17 03:58:56,2018-05-05 06:30:03,2016-06-15 02:35:17,10.0,,4.0,6.0,1.0,2.0,2.0,74.0,,,,4.0,,Simple state management whitout bloating API and Concept for Vue.js.,2.0,2.0,,6,False,3,,vue-freeze,https://www.npmjs.com/package/vue-freeze,4.0,
62,vue-simple-store,BosNaufal/vue-simple-store,[],state-management,https://github.com/BosNaufal/vue-simple-store,https://github.com/BosNaufal/vue-simple-store,MIT,2016-03-30 03:21:00,2016-03-30 05:15:51,2016-03-30 03:32:51,2.0,,7.0,2.0,,,,67.0,,,,11.0,,Store Organizer To Simplify Your Stores.,9.0,9.0,,6,False,3,,vue-simple-store,https://www.npmjs.com/package/vue-simple-store,11.0,
63,Electron,electron/electron,,desktop-apps,,,,,,,,,,,,,,,,,,3263903.0,,,,,,6,False,3,,electron,https://www.npmjs.com/package/electron,3263903.0,
64,SuperBVue,superbvue/SuperBVue,"['vue3', 'typescript']",ui-frameworks,https://github.com/superbvue/SuperBVue,https://github.com/superbvue/SuperBVue,,2020-12-07 13:02:01,2021-01-05 08:23:14,2021-01-05 08:22:19,40.0,,2.0,2.0,,,,14.0,,,,24.0,,The Most Complete Vue UI Component Library using bootstrap v5.,6.0,6.0,,5,False,3,1.0,superbvue,https://www.npmjs.com/package/superbvue,24.0,
